avroraNT.log,1,9042
batikNT.log,1,515
cryptNT.log,1,24594
h2NT.log,1,153415
jythonNT.log,1,10329
lufactNT.log,1,35331
lusearchNT.log,1,1607
pmdNT.log,1,1138
sunflowNTABORTED.log,1,122183
xalanFull.log,1,51931
avroraNT.log,2,8998
batikNT.log,2,508
cryptNT.log,2,24343
h2NT.log,2,156445
jythonNT.log,2,10444
lufactNT.log,2,35068
lusearchNT.log,2,1910
pmdNT.log,2,1163
sunflowNTABORTED.log,2,123604
xalanFull.log,2,108794
avroraNT.log,3,8881
batikNT.log,3,505
cryptNT.log,3,24170
h2NT.log,3,154696
jythonNT.log,3,10515
lufactNT.log,3,36014
lusearchNT.log,3,2265
pmdNT.log,3,1146
sunflowNTABORTED.log,3,122939
xalanFull.log,3,182385
avroraNT.log,5,8972
batikNT.log,5,539
cryptNT.log,5,24383
h2NT.log,5,154926
jythonNT.log,5,10579
lufactNT.log,5,34942
lusearchNT.log,5,2877
pmdNT.log,5,1171
sunflowNTABORTED.log,5,121432
xalanFull.log,5,399461
avroraNT.log,10,8899
batikNT.log,10,515
cryptNT.log,10,24115
h2NT.log,10,160399
jythonNT.log,10,10598
lufactNT.log,10,35361
lusearchNT.log,10,4977
pmdNT.log,10,1239
sunflowNTABORTED.log,10,124344
xalanFull.log,10,1249444
avroraNT.log,20,9277
batikNT.log,20,551
cryptNT.log,20,24792
h2NT.log,20,164609
jythonNT.log,20,10870
lufactNT.log,20,36343
lusearchNT.log,20,11818
pmdNT.log,20,1211
sunflowNTABORTED.log,20,126870
xalanFull.log,20,2990426
