avroraNT.log,1,9041
batikNT.log,1,515
cryptNT.log,1,24140
h2NT.log,1,155473
jythonNT.log,1,10368
lufactNT.log,1,34935
lusearchNT.log,1,1366
pmdNT.log,1,1135
sunflowNTABORTED.log,1,119923
tomcatFull.log,1,62967
xalanFull.log,1,33609
avroraNT.log,2,8835
batikNT.log,2,511
cryptNT.log,2,24063
h2NT.log,2,158468
jythonNT.log,2,10556
lufactNT.log,2,35518
lusearchNT.log,2,1394
pmdNT.log,2,1129
sunflowNTABORTED.log,2,121806
tomcatFull.log,2,87709
xalanFull.log,2,34751
avroraNT.log,3,8924
batikNT.log,3,528
cryptNT.log,3,23971
h2NT.log,3,156117
jythonNT.log,3,10368
lufactNT.log,3,34919
lusearchNT.log,3,1395
pmdNT.log,3,1134
sunflowNTABORTED.log,3,120020
tomcatFull.log,3,103598
xalanFull.log,3,35920
avroraNT.log,5,8938
batikNT.log,5,536
cryptNT.log,5,23733
h2NT.log,5,153458
jythonNT.log,5,10268
lufactNT.log,5,35266
lusearchNT.log,5,1402
pmdNT.log,5,1137
sunflowNTABORTED.log,5,122101
tomcatFull.log,5,133481
xalanFull.log,5,37590
avroraNT.log,10,8921
batikNT.log,10,525
cryptNT.log,10,24056
h2NT.log,10,154380
jythonNT.log,10,10358
lufactNT.log,10,34736
lusearchNT.log,10,1444
pmdNT.log,10,1123
sunflowNTABORTED.log,10,120516
tomcatFull.log,10,198101
xalanFull.log,10,42241
avroraNT.log,20,9025
batikNT.log,20,541
cryptNT.log,20,23939
h2NT.log,20,155353
jythonNT.log,20,10463
lufactNT.log,20,35097
lusearchNT.log,20,1488
pmdNT.log,20,1133
sunflowNTABORTED.log,20,120722
tomcatFull.log,20,282112
xalanFull.log,20,49992
